video_id,comment_id,reply_to_comment_id,original_text,translated_text,emoji_only,reply_to_original_text,reply_to_id,replied_to_translated,emoji_count,text_length,thread_depth,creator_category,manual_label
https://www.tiktok.com/@troubles2777/video/7497693845971406135,7512485746981798661,,Baie trots op jou ek sien jou else dag in ons straat en jy het regtig verbeter eks trots op jou my friend geluk met 1 jaar,Very proud of you I see your Else day in our street and you really improved ex proud of you my friend happiness with 1 year,,,,,0,123,0,Chaos,Ubuntu
https://www.tiktok.com/@troubles2777/video/7497693845971406135,7512486199932683014,7.512485746981799e+18,Dankie yster daar vat sy nou mooi😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂My boetta,Thanks iron there she takes now Mooimy Boetta,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Baie trots op jou ek sien jou else dag in ons straat en jy het regtig verbeter eks trots op jou my friend geluk met 1 jaar,7.512485746981799e+18,Very proud of you I see your Else day in our street and you really improved ex proud of you my friend happiness with 1 year,39,45,1,Chaos,Unclear
https://www.tiktok.com/@troubles2777/video/7497693845971406135,7513260888029578040,,Dankie HERE JESUS!! Amen!! 👏👏👏💯🙏🙏,Thank you Lord Jesus !! Amen !!,👏👏👏💯🙏🙏,,,,6,31,0,Chaos,Ubuntu
https://www.tiktok.com/@troubles2777/video/7497693845971406135,7497697047547134775,,is mooi want kyk jyt jou neus ook skeef begin snuif .agterna net jou geld gemors want dit sit om die hoek vas .😂,Is beautiful because you watch your nose start to sniff.,😂,,,,1,56,0,Chaos,Unclear
https://www.tiktok.com/@troubles2777/video/7497693845971406135,7497698820521624325,,Jy het dit self reg gekry. Glad nie nodig om enige iets iemand of iets te bedank nie,You got it right yourself. No need to thank anything someone or something,,,,,0,73,0,Chaos,Ubuntu
https://www.tiktok.com/@troubles2777/video/7497693845971406135,7497849491225264902,7.497698820521625e+18,Sonder Jesus Christus kan ons niks oorwin nie. Alle eer aan God🙏,Without Jesus Christ we cannot overcome anything. All glory to God,🙏,Jy het dit self reg gekry. Glad nie nodig om enige iets iemand of iets te bedank nie,7.497698820521625e+18,You got it right yourself. No need to thank anything someone or something,1,66,1,Chaos,Ubuntu
https://www.tiktok.com/@troubles2777/video/7497693845971406135,7498322304105317175,,Everything is possible fo5 those who believe and trust in God,Everything is possible fo5 those who believe and trust in God,,,,,0,61,0,Chaos,Ubuntu
https://www.tiktok.com/@troubles2777/video/7497693845971406135,7497848970670473989,,Alle eer aan Jesus 🙏. Trots op jou. As mens dit doen vir God is dit soveel makliker. God het my verlos van die rookduiwel 🙏,"All glory to Jesus. Proud of you. If you do it for God, it's so much easier. God has redeemed me from smoking devil",🙏🙏,,,,2,115,0,Chaos,Ubuntu
https://www.tiktok.com/@troubles2777/video/7497693845971406135,7512838340057432838,,Baie mooi.Met die Here in jou kant is enige iets moontlik,"Very nice. With the Lord in your side, anything is possible",,,,,0,59,0,Chaos,Ubuntu
https://www.tiktok.com/@troubles2777/video/7497693845971406135,7497722255041544966,,Dis baie awesome Trubells. Mag God jou stukkend seen.,That's a lot of awesome trubells. May God bless you.,,,,,0,52,0,Chaos,Ubuntu
