lang,stopword
af,a
af,aan
af,af
af,aight
af,as
af,asseblief
af,aweh
af,ayt
af,baie
af,bra
af,by
af,daar
af,daarby
af,daardie
af,daarin
af,daarmee
af,daarom
af,daarop
af,daarvan
af,dat
af,de
af,die
af,dit
af,doen
af,doen's
af,dus
af,eers
af,eersens
af,egter
af,eish
af,ek
af,en
af,geen
af,haar
af,haibo
af,heh
af,heita
af,hier
af,hierdie
af,hiervan
af,hiervandaan
af,howzit
af,hulle
af,hy
af,in
af,intussen
af,is
af,ja
af,jou
af,julle
af,jy
af,kan
af,kanti
af,kon
af,maar
af,mara
af,meer
af,met
af,min
af,mos
af,mxm
af,my
af,na
af,neh
af,neh?
af,net
af,netnou
af,nie
af,nog
af,nogal
af,nou
af,of
af,okes
af,oky
af,om
af,ons
af,op
af,per
af,reeds
af,s'n
af,sal
af,se
af,seker
af,self
af,sharp
af,sho
af,so
af,sodoende
af,sommer
af,soms
af,sonder
af,sou
af,sy
af,teen
af,tog
af,tot
af,tussen
af,uit
af,van
af,vanaf
af,vandag
af,vantevore
af,veel
af,vele
af,voor
af,voorts
af,waar
af,waarom
af,wanneer
af,want
af,was
af,wat
af,wel
af,wena
af,wie
af,word
af,wou
af,woude
af,yazi
af,yoh
en,a
en,about
en,above
en,after
en,again
en,against
en,aight
en,aka
en,all
en,am
en,an
en,and
en,any
en,are
en,aren't
en,as
en,asap
en,at
en,aweh
en,ayt
en,be
en,because
en,been
en,before
en,being
en,below
en,between
en,both
en,bra
en,btw
en,but
en,by
en,can't
en,cannot
en,could
en,couldn't
en,did
en,didn't
en,dm
en,do
en,does
en,doesn't
en,doing
en,don't
en,down
en,during
en,each
en,eish
en,fb
en,few
en,for
en,from
en,further
en,had
en,hadn't
en,haibo
en,has
en,hasn't
en,have
en,haven't
en,having
en,he
en,he'd
en,he'll
en,he's
en,heh
en,heita
en,her
en,here
en,here's
en,hers
en,herself
en,him
en,himself
en,his
en,how
en,how's
en,howzit
en,i
en,i'd
en,i'll
en,i'm
en,i've
en,idk
en,if
en,ig
en,ikr
en,imo
en,in
en,into
en,is
en,isn't
en,it
en,it's
en,its
en,itself
en,kanti
en,let's
en,lmao
en,lol
en,mara
en,me
en,more
en,mos
en,most
en,mustn't
en,mxm
en,my
en,myself
en,nah
en,neh
en,neh?
en,no
en,nope
en,nor
en,not
en,of
en,off
en,ok
en,okay
en,okes
en,okiy
en,oky
en,omg
en,on
en,once
en,only
en,or
en,other
en,ought
en,our
en,ours
en,ourselves
en,out
en,over
en,own
en,pls
en,plz
en,rn
en,rofl
en,rt
en,same
en,shan't
en,sharp
en,she
en,she'd
en,she'll
en,she's
en,sho
en,should
en,shouldn't
en,smh
en,so
en,some
en,such
en,tbh
en,than
en,thanks
en,that
en,that's
en,the
en,their
en,theirs
en,them
en,themselves
en,then
en,there
en,there's
en,these
en,they
en,they'd
en,they'll
en,they're
en,they've
en,this
en,those
en,through
en,thx
en,to
en,too
en,u
en,under
en,until
en,up
en,ur
en,vele
en,very
en,was
en,wasn't
en,we
en,we'd
en,we'll
en,we're
en,we've
en,wena
en,were
en,weren't
en,what
en,what's
en,when
en,when's
en,where
en,where's
en,which
en,while
en,who
en,who's
en,whom
en,why
en,why's
en,with
en,won't
en,would
en,wouldn't
en,ya
en,yazi
en,yep
en,yoh
en,you
en,you'd
en,you'll
en,you're
en,you've
en,your
en,yours
en,yourself
en,yourselves
en,yr
en,yt
nr,aight
nr,aweh
nr,ayt
nr,bona
nr,bra
nr,eish
nr,futhi
nr,haibo
nr,heh
nr,heita
nr,howzit
nr,kanti
nr,kanye
nr,khona
nr,kodwa
nr,konke
nr,lapha
nr,lapho
nr,le
nr,lena
nr,leyo
nr,lokho
nr,lokhu
nr,manje-ke
nr,mara
nr,mina
nr,mos
nr,mxm
nr,nango
nr,nanka
nr,nanku
nr,nansi
nr,neh
nr,neh?
nr,ngaleso
nr,ngoba
nr,nina
nr,njalo
nr,nje
nr,noma
nr,okes
nr,oky
nr,pho
nr,sharp
nr,sho
nr,thina
nr,uma
nr,vele
nr,wabo
nr,wakhe
nr,wakho
nr,wami
nr,wena
nr,wenu
nr,wethu
nr,yazi
nr,yena
nr,yoh
nso,aight
nso,aweh
nso,ayt
nso,ba
nso,bjalo
nso,bona
nso,bra
nso,eish
nso,fa
nso,fela
nso,ga
nso,go
nso,gohle
nso,gona
nso,gona-go
nso,gona-gohle
nso,gona-le
nso,gore
nso,haibo
nso,heh
nso,heita
nso,howzit
nso,ka
nso,kae
nso,kae-gae
nso,kanti
nso,ke
nso,kudu
nso,le
nso,lena
nso,mara
nso,mme
nso,mo
nso,mos
nso,mxm
nso,neh
nso,neh?
nso,okes
nso,oky
nso,re
nso,rena
nso,sa
nso,sharp
nso,sho
nso,tsa
nso,tseo
nso,vele
nso,wena
nso,ya
nso,yazi
nso,yena
nso,yoh
nso,yona
ss,aight
ss,aweh
ss,ayt
ss,bona
ss,bra
ss,cha
ss,eish
ss,futsi
ss,haibo
ss,heh
ss,heita
ss,howzit
ss,kanti
ss,kanye
ss,ke
ss,khona
ss,kodwa
ss,kute
ss,lapha
ss,lapho
ss,le
ss,leli
ss,lena
ss,leyo
ss,loko
ss,loko-ke
ss,mara
ss,mine
ss,mos
ss,mxm
ss,na
ss,ne
ss,neh
ss,neh?
ss,ngabe
ss,ngaleso
ss,nge
ss,ngoba
ss,nina
ss,nje
ss,njengoba
ss,noma
ss,okes
ss,oky
ss,sharp
ss,sho
ss,sikhatsi
ss,thina
ss,uma
ss,vele
ss,wabo
ss,wakhe
ss,wakho
ss,wami
ss,wena
ss,wenu
ss,wethu
ss,yazi
ss,yebo
ss,yena
ss,yoh
st,a
st,aight
st,aweh
st,ayt
st,ba
st,bra
st,e
st,eish
st,eitse
st,empa
st,ha
st,haibo
st,hape
st,heh
st,heita
st,ho
st,hobane
st,hobaneng
st,hona
st,hona-ho
st,howzit
st,jwale
st,ka
st,kaha
st,kanti
st,kapa
st,ke
st,le
st,leha
st,mara
st,mme
st,mona
st,moo
st,moo-mona
st,morao
st,mos
st,mxm
st,neh
st,neh?
st,ntle
st,o
st,okes
st,oky
st,pele
st,re
st,sa
st,sharp
st,sho
st,tjena
st,tsa
st,tse
st,tsebang
st,tsena
st,tseo
st,tsohle
st,u
st,vele
st,wena
st,yazi
st,yoh
tn,aight
tn,aweh
tn,ayt
tn,ba
tn,bangwe
tn,bra
tn,e
tn,eish
tn,fa
tn,fela
tn,ga
tn,go
tn,gompieno
tn,gone
tn,gore
tn,haibo
tn,heh
tn,heita
tn,howzit
tn,jaanong
